0	47
10	102.5535
10.25793234	99.33363694
10.31236366	100.8569232
15.8	106.8964
16.11306822	105.1996676
16.41269175	104.0274652
19.33568186	107.0073997
25	111.4178
25.8499895	108.8080301
27.04118544	106.8124465
30	113.6066
40.60493191	114.7256717
41.03172937	113.5696636
43.2658967	113.9135026
64.45227287	119.6455024
65.65076699	118.8991426
67.60296359	118.9217207
101.8345911	124.7995687
102.5793234	124.1353168
108.1647418	124.5418404
123.0951881	126.4063121
161.1306822	130.0480959
170.3594683	129.7350807
186.3877979	131.1113478
193.3568186	132.5761293
258.499895	135.430022
270.4118544	135.2681925
298.2204766	138.0280108
410.3172937	141.4747408
432.658967	141.7060153
465.9694946	144.4366698
648.301324	147.5638905
676.0296359	147.8719978
745.5511914	151.5545963
811.2355631	150.4493092
1025.793234	153.8179173
1174.243127	158.6318043
1230.951881	156.639855
1344.543476	163.4111497
1703.594683	161.6014021
1863.877979	165.9323588
2151.269561	171.5060507
2704.118544	168.6091881
2982.204766	173.9790792
