0.1	0.03875
0.1005	0.04167
0.1129	0.05909
0.114	0.04165
0.1167	0.0423
0.1355	0.05911
0.1583	0.04231
0.16	0.04179
0.1781	0.04294
0.1852	0.04454
0.2138	0.04364
0.25	0.04306
0.2512	0.0429
0.2926	0.04773
0.3535	0.04473
0.4	0.04472
0.402	0.04509
0.4489	0.04644
0.463	0.06193
0.5555	0.06171
0.5656	0.04542
0.6281	0.04678
0.63	0.04604
0.7125	0.04886
0.7537	0.04752
0.8837	0.04641
1	0.04811
1.126	0.05267
1.414	0.04908
1.583	0.05112
1.6	0.04953
1.781	0.06691
2.138	0.06813
2.227	0.05049
2.5	0.0517
2.512	0.05418
3	0.05263
3.06	0.05324
3.535	0.05226
3.969	0.05823
4.896	0.05205
5.656	0.05533
6.281	0.07355
6.3	0.05685
7.537	0.07399
7.649	0.05378
8.837	0.0574
10	0.06017
10.6	0.05835
12.24	0.05555
15.8	0.06517
19.28	0.05756
22.27	0.0636
25	0.08087
30	0.08131
30.6	0.06008
35.35	0.06792
48.96	0.06235
55.85	0.0737
76.49	0.06595
88.37	0.09011
91.79	0.06727
106	0.09164
192.8	0.07389
302.3	0.06293
306	0.07911
483.4	0.08621
483.6	0.06824
755.7	0.07006
764.9	0.1023
917.9	0.1065
1209	0.0742
1904	0.07529
3023	0.07813
4836	0.08246
7557	0.087
9068	0.08865
19040	0.09783
30230	0.105
47220	0.0924
47760	0.1139
75560	0.0934
75570	0.1319
90680	0.1343
